Activity type,Duration,From,To,Comment
Internet,1:57,2/7/2021 7:49,2/7/2021 9:46,
Gaming,0:20,2/7/2021 7:29,2/7/2021 7:49,
Internet,0:26,2/7/2021 7:03,2/7/2021 7:29,
Sleep,8:03,2/6/2021 23:00,2/7/2021 7:03,
Housework,0:10,2/6/2021 22:49,2/6/2021 23:00,
Gaming,1:15,2/6/2021 21:33,2/6/2021 22:49,
Thesis,0:33,2/6/2021 21:00,2/6/2021 21:33,
Eat,0:14,2/6/2021 20:45,2/6/2021 21:00,
Internet,0:18,2/6/2021 20:26,2/6/2021 20:45,
Thesis,0:00,2/6/2021 20:26,2/6/2021 20:26,
Gaming,0:42,2/6/2021 19:43,2/6/2021 20:26,
Thesis,0:50,2/6/2021 18:53,2/6/2021 19:43,
Work,0:00,2/6/2021 18:53,2/6/2021 18:53,
Gaming,3:10,2/6/2021 15:42,2/6/2021 18:53,
Linda,1:22,2/6/2021 14:19,2/6/2021 15:42,
Gaming,2:44,2/6/2021 11:35,2/6/2021 14:19,
Thesis,0:47,2/6/2021 10:47,2/6/2021 11:35,
"""Reading""",0:09,2/6/2021 10:37,2/6/2021 10:47,
Thesis,0:01,2/6/2021 10:36,2/6/2021 10:37,
Gaming,0:21,2/6/2021 10:14,2/6/2021 10:36,
Thesis,2:10,2/6/2021 8:04,2/6/2021 10:14,
Transport,0:51,2/6/2021 7:12,2/6/2021 8:04,
Shop,0:11,2/6/2021 7:00,2/6/2021 7:12,
Transport,0:07,2/6/2021 6:53,2/6/2021 7:00,
Housework,0:20,2/6/2021 6:32,2/6/2021 6:53,
Sleep,0:00,2/6/2021 6:16,2/6/2021 6:16,
"""Reading""",0:00,2/6/2021 6:16,2/6/2021 6:16,
"""Reading""",0:22,2/6/2021 6:10,2/6/2021 6:32,
Internet,0:54,2/6/2021 5:16,2/6/2021 6:10,
Sleep-ternet,1:06,2/6/2021 4:09,2/6/2021 5:16,
Sleep,9:24,2/5/2021 18:45,2/6/2021 4:09,
Sleep-ternet,0:20,2/5/2021 18:24,2/5/2021 18:45,
Linda,4:59,2/5/2021 13:25,2/5/2021 18:24,
Eat,1:24,2/5/2021 12:00,2/5/2021 13:25,
Internet,1:53,2/5/2021 10:06,2/5/2021 12:00,
Shop,0:15,2/5/2021 9:51,2/5/2021 10:06,
Transport,0:11,2/5/2021 9:39,2/5/2021 9:51,
Internet,1:24,2/5/2021 8:15,2/5/2021 9:39,
Eat,0:15,2/5/2021 7:59,2/5/2021 8:15,
Getting Ready,0:14,2/5/2021 7:45,2/5/2021 7:59,
Entertainment,1:15,2/5/2021 6:30,2/5/2021 7:45,
Internet,2:30,2/5/2021 4:00,2/5/2021 6:30,
Sleep,2:30,2/5/2021 1:30,2/5/2021 4:00,
Sleep-ternet,1:22,2/5/2021 0:07,2/5/2021 1:30,
Sleep,5:37,2/4/2021 18:30,2/5/2021 0:07,
Sleep-ternet,0:23,2/4/2021 18:06,2/4/2021 18:30,
Internet,0:51,2/4/2021 17:15,2/4/2021 18:06,
"""Reading""",0:07,2/4/2021 17:07,2/4/2021 17:15,
Internet,0:08,2/4/2021 16:59,2/4/2021 17:07,
Gaming,1:24,2/4/2021 15:35,2/4/2021 16:59,
"""Reading""",0:14,2/4/2021 15:20,2/4/2021 15:35,
Linda,2:35,2/4/2021 12:45,2/4/2021 15:20,
Getting Ready,0:15,2/4/2021 12:30,2/4/2021 12:45,
Sport,1:00,2/4/2021 11:30,2/4/2021 12:30,
Gaming,1:11,2/4/2021 10:18,2/4/2021 11:30,
Housework,0:18,2/4/2021 10:00,2/4/2021 10:18,
Sleep-ternet,1:19,2/4/2021 8:40,2/4/2021 10:00,
Gaming,3:23,2/4/2021 5:17,2/4/2021 8:40,
Eat,0:20,2/4/2021 4:57,2/4/2021 5:17,
Housework,0:03,2/4/2021 4:53,2/4/2021 4:57,
Sleep-ternet,0:56,2/4/2021 3:57,2/4/2021 4:53,
Sleep,6:52,2/3/2021 21:04,2/4/2021 3:57,
Gaming,2:15,2/3/2021 18:49,2/3/2021 21:04,
Eat,2:04,2/3/2021 16:44,2/3/2021 18:49,
"""Reading""",0:20,2/3/2021 16:24,2/3/2021 16:44,
Gaming,8:54,2/3/2021 7:29,2/3/2021 16:24,
Eat,0:52,2/3/2021 6:37,2/3/2021 7:29,
Transport,0:21,2/3/2021 6:16,2/3/2021 6:37,
Sleep-ternet,4:11,2/3/2021 2:04,2/3/2021 6:16,
Sleep,8:17,2/2/2021 17:47,2/3/2021 2:04,
Internet,5:27,2/2/2021 12:19,2/2/2021 17:47,
Eat,0:15,2/2/2021 12:04,2/2/2021 12:19,
Sleep-ternet,2:42,2/2/2021 9:22,2/2/2021 12:04,
"""Reading""",0:21,2/2/2021 9:01,2/2/2021 9:22,
Sleep-ternet,6:49,2/2/2021 2:11,2/2/2021 9:01,
Sleep,9:25,2/1/2021 16:45,2/2/2021 2:11,
Sleep-ternet,0:29,2/1/2021 16:16,2/1/2021 16:45,
Gaming,2:45,2/1/2021 13:31,2/1/2021 16:16,
Entertainment,1:31,2/1/2021 12:00,2/1/2021 13:31,
Gaming,2:00,2/1/2021 10:00,2/1/2021 12:00,
Eat,0:13,2/1/2021 9:46,2/1/2021 10:00,
Shop,0:23,2/1/2021 9:23,2/1/2021 9:46,
Transport,0:15,2/1/2021 9:08,2/1/2021 9:23,
Internet,4:38,2/1/2021 4:30,2/1/2021 9:08,
Eat,0:30,2/1/2021 4:00,2/1/2021 4:30,
Sleep-ternet,1:36,2/1/2021 2:24,2/1/2021 4:00,
Sleep,4:24,1/31/2021 22:00,2/1/2021 2:24,
Sleep-ternet,1:43,1/31/2021 20:16,1/31/2021 22:00,
Internet,2:15,1/31/2021 18:00,1/31/2021 20:16,
Gaming,3:00,1/31/2021 15:00,1/31/2021 18:00,
"""Reading""",0:13,1/31/2021 14:46,1/31/2021 15:00,
Linda,3:46,1/31/2021 11:00,1/31/2021 14:46,
Meeting,1:00,1/31/2021 10:00,1/31/2021 11:00,
Gaming,1:00,1/31/2021 9:00,1/31/2021 10:00,
Sleep-ternet,2:28,1/31/2021 6:31,1/31/2021 9:00,
Internet,0:53,1/31/2021 5:37,1/31/2021 6:31,
Friends,2:37,1/31/2021 3:00,1/31/2021 5:37,
Transport,0:20,1/31/2021 2:39,1/31/2021 3:00,
Internet,0:33,1/31/2021 2:06,1/31/2021 2:39,
Getting Ready,0:13,1/31/2021 1:52,1/31/2021 2:06,
Sleep-ternet,0:17,1/31/2021 1:35,1/31/2021 1:52,
Sleep,5:52,1/30/2021 19:43,1/31/2021 1:35,
Sleep-ternet,0:49,1/30/2021 18:53,1/30/2021 19:43,
Housework,0:04,1/30/2021 18:49,1/30/2021 18:53,
"""Reading""",0:32,1/30/2021 18:16,1/30/2021 18:49,
Work,0:31,1/30/2021 17:45,1/30/2021 18:16,
Gaming,0:00,1/30/2021 15:56,1/30/2021 15:56,
Gaming,3:14,1/30/2021 14:30,1/30/2021 17:45,
"""Reading""",0:09,1/30/2021 14:20,1/30/2021 14:30,
Work,0:01,1/30/2021 14:18,1/30/2021 14:20,
Gaming,1:14,1/30/2021 13:04,1/30/2021 14:18,
"""Reading""",1:37,1/30/2021 11:27,1/30/2021 13:04,
Eat,0:48,1/30/2021 10:39,1/30/2021 11:27,
Shop,0:24,1/30/2021 10:14,1/30/2021 10:39,
Transport,0:14,1/30/2021 10:00,1/30/2021 10:14,
Internet,0:35,1/30/2021 9:25,1/30/2021 10:00,
Work,1:02,1/30/2021 8:23,1/30/2021 9:25,
Housework,0:50,1/30/2021 7:33,1/30/2021 8:23,
Internet,0:10,1/30/2021 7:23,1/30/2021 7:33,
Eat,0:15,1/30/2021 7:07,1/30/2021 7:23,
Getting Ready,0:19,1/30/2021 6:48,1/30/2021 7:07,
Sleep-ternet,0:22,1/30/2021 6:26,1/30/2021 6:48,
Internet,0:49,1/30/2021 5:36,1/30/2021 6:26,
Sleep-ternet,0:35,1/30/2021 5:01,1/30/2021 5:36,
Sleep,1:01,1/30/2021 4:00,1/30/2021 5:01,
Sleep-ternet,0:40,1/30/2021 3:19,1/30/2021 4:00,
Sleep,6:45,1/29/2021 20:34,1/30/2021 3:19,
Sleep-ternet,2:33,1/29/2021 18:00,1/29/2021 20:34,
Internet,0:29,1/29/2021 17:30,1/29/2021 18:00,
Work,1:04,1/29/2021 16:25,1/29/2021 17:30,
Gaming,0:26,1/29/2021 15:58,1/29/2021 16:25,
Entertainment,0:00,1/29/2021 15:58,1/29/2021 15:58,
Linda,1:38,1/29/2021 14:20,1/29/2021 15:58,
Internet,0:33,1/29/2021 13:47,1/29/2021 14:20,
Internet,0:00,1/29/2021 13:46,1/29/2021 13:47,
Admin,1:08,1/29/2021 12:37,1/29/2021 13:46,
Internet,1:52,1/29/2021 10:45,1/29/2021 12:37,
Entertainment,1:59,1/29/2021 8:45,1/29/2021 10:45,
Eat,0:10,1/29/2021 8:35,1/29/2021 8:45,
Shop,0:15,1/29/2021 8:20,1/29/2021 8:35,
Transport,0:14,1/29/2021 8:05,1/29/2021 8:20,
Transport,0:00,1/29/2021 8:05,1/29/2021 8:05,
Sleep-ternet,0:33,1/29/2021 7:32,1/29/2021 8:05,
Work,0:56,1/29/2021 6:35,1/29/2021 7:32,
Meeting,0:30,1/29/2021 6:04,1/29/2021 6:35,
Internet,0:59,1/29/2021 5:05,1/29/2021 6:04,
Sleep-ternet,1:16,1/29/2021 3:49,1/29/2021 5:05,
"""Reading""",0:17,1/29/2021 3:31,1/29/2021 3:49,
Getting Ready,0:04,1/29/2021 3:26,1/29/2021 3:31,
Sleep-ternet,0:12,1/29/2021 3:14,1/29/2021 3:26,
Sleep,9:11,1/28/2021 18:02,1/29/2021 3:14,
Sleep-ternet,0:14,1/28/2021 17:48,1/28/2021 18:02,
Getting Ready,0:12,1/28/2021 17:35,1/28/2021 17:48,
Entertainment,1:43,1/28/2021 15:52,1/28/2021 17:35,
Internet,0:00,1/28/2021 15:52,1/28/2021 15:52,
Internet,0:00,1/28/2021 15:52,1/28/2021 15:52,
Eat,0:07,1/28/2021 15:45,1/28/2021 15:52,
"""Reading""",0:15,1/28/2021 15:29,1/28/2021 15:45,
Internet,0:00,1/28/2021 15:29,1/28/2021 15:29,
Internet,0:00,1/28/2021 15:29,1/28/2021 15:29,
Internet,1:29,1/28/2021 14:00,1/28/2021 15:29,
Work,1:00,1/28/2021 13:00,1/28/2021 14:00,
Friends,0:29,1/28/2021 12:30,1/28/2021 13:00,
Sport,1:00,1/28/2021 11:30,1/28/2021 12:30,
"""Reading""",0:34,1/28/2021 10:55,1/28/2021 11:30,
Meeting,1:14,1/28/2021 9:40,1/28/2021 10:55,
Internet,0:41,1/28/2021 8:59,1/28/2021 9:40,
Eat,0:14,1/28/2021 8:45,1/28/2021 8:59,
Shop,0:15,1/28/2021 8:30,1/28/2021 8:45,
Transport,0:17,1/28/2021 8:12,1/28/2021 8:30,
Housework,0:37,1/28/2021 7:34,1/28/2021 8:12,
Sleep-ternet,1:02,1/28/2021 6:32,1/28/2021 7:34,
Nap,2:32,1/28/2021 4:00,1/28/2021 6:32,
Sleep-ternet,0:33,1/28/2021 3:26,1/28/2021 4:00,
Internet,0:16,1/28/2021 3:09,1/28/2021 3:26,
Internet,0:19,1/28/2021 2:50,1/28/2021 3:09,
Meeting,0:50,1/28/2021 2:00,1/28/2021 2:50,
Sleep-ternet,0:30,1/28/2021 1:30,1/28/2021 2:00,
Thesis,1:20,1/28/2021 0:09,1/28/2021 1:30,
Internet,0:38,1/27/2021 23:30,1/28/2021 0:09,
Thesis,3:44,1/27/2021 19:45,1/27/2021 23:30,
Gaming,1:01,1/27/2021 18:43,1/27/2021 19:45,
Thesis,1:00,1/27/2021 17:43,1/27/2021 18:43,
Gaming,6:23,1/27/2021 11:20,1/27/2021 17:43,
"""Reading""",0:13,1/27/2021 11:06,1/27/2021 11:20,
Work,0:30,1/27/2021 10:36,1/27/2021 11:06,
Internet,0:52,1/27/2021 9:44,1/27/2021 10:36,
Makin'/Fixin',1:10,1/27/2021 8:34,1/27/2021 9:44,
Internet,0:08,1/27/2021 8:26,1/27/2021 8:34,
Gaming,1:02,1/27/2021 7:23,1/27/2021 8:26,
Makin'/Fixin',0:50,1/27/2021 6:32,1/27/2021 7:23,
Gaming,1:00,1/27/2021 5:32,1/27/2021 6:32,
Gaming,0:00,1/27/2021 5:32,1/27/2021 5:32,
Shop,0:19,1/27/2021 5:13,1/27/2021 5:32,
Transport,0:13,1/27/2021 5:00,1/27/2021 5:13,
Getting Ready,0:11,1/27/2021 4:48,1/27/2021 5:00,
Housework,0:11,1/27/2021 4:36,1/27/2021 4:48,
Eat,0:11,1/27/2021 4:25,1/27/2021 4:36,
Housework,0:14,1/27/2021 4:10,1/27/2021 4:25,
Getting Ready,0:00,1/27/2021 4:10,1/27/2021 4:10,
Getting Ready,0:10,1/27/2021 4:00,1/27/2021 4:10,
Housework,0:06,1/27/2021 3:53,1/27/2021 4:00,
"""Reading""",0:10,1/27/2021 3:43,1/27/2021 3:53,
Sleep-ternet,1:05,1/27/2021 2:37,1/27/2021 3:43,
Sleep,7:07,1/26/2021 19:30,1/27/2021 2:37,
Sleep-ternet,0:30,1/26/2021 18:59,1/26/2021 19:30,
Internet,0:29,1/26/2021 18:30,1/26/2021 18:59,
Work,2:09,1/26/2021 16:20,1/26/2021 18:30,
Gaming,3:09,1/26/2021 13:10,1/26/2021 16:20,
Linda,0:29,1/26/2021 12:41,1/26/2021 13:10,
Gaming,3:00,1/26/2021 9:40,1/26/2021 12:41,
Linda,2:49,1/26/2021 6:50,1/26/2021 9:40,
Gaming,0:50,1/26/2021 6:00,1/26/2021 6:50,
"""Reading""",0:19,1/26/2021 5:41,1/26/2021 6:00,
Gaming,0:10,1/26/2021 5:31,1/26/2021 5:41,
Shop,0:00,1/26/2021 4:46,1/26/2021 4:46,
Meeting,1:00,1/26/2021 4:30,1/26/2021 5:31,
Eat,0:15,1/26/2021 4:15,1/26/2021 4:30,
Shop,0:15,1/26/2021 4:00,1/26/2021 4:15,
Friends,0:30,1/26/2021 3:30,1/26/2021 4:00,
Transport,0:00,1/26/2021 3:18,1/26/2021 3:18,
Getting Ready,0:14,1/26/2021 3:15,1/26/2021 3:30,
Sleep-ternet,0:50,1/26/2021 2:24,1/26/2021 3:15,
Sleep,7:04,1/25/2021 19:20,1/26/2021 2:24,
Linda,0:04,1/25/2021 19:15,1/25/2021 19:20,
Sleep-ternet,0:32,1/25/2021 18:43,1/25/2021 19:15,
Gaming,0:20,1/25/2021 18:23,1/25/2021 18:43,
Linda,3:22,1/25/2021 15:01,1/25/2021 18:23,
Work,3:58,1/25/2021 11:02,1/25/2021 15:01,
Housework,0:03,1/25/2021 10:59,1/25/2021 11:02,
Yoga,0:48,1/25/2021 10:10,1/25/2021 10:59,
Work,0:49,1/25/2021 9:20,1/25/2021 10:10,
Gaming,1:16,1/25/2021 8:03,1/25/2021 9:20,
Internet,0:38,1/25/2021 7:25,1/25/2021 8:03,
Eat,0:08,1/25/2021 7:17,1/25/2021 7:25,
Shop,0:12,1/25/2021 7:05,1/25/2021 7:17,
Transport,0:19,1/25/2021 6:45,1/25/2021 7:05,
Getting Ready,0:15,1/25/2021 6:30,1/25/2021 6:45,
Work,1:10,1/25/2021 5:20,1/25/2021 6:30,
Meeting,1:01,1/25/2021 4:18,1/25/2021 5:20,
"""Reading""",0:06,1/25/2021 4:12,1/25/2021 4:18,
Meeting,0:12,1/25/2021 4:00,1/25/2021 4:12,
Work,1:19,1/25/2021 2:40,1/25/2021 4:00,
Eat,0:10,1/25/2021 2:30,1/25/2021 2:40,
Getting Ready,0:22,1/25/2021 2:08,1/25/2021 2:30,
Sleep-ternet,0:18,1/25/2021 1:49,1/25/2021 2:08,
Sleep,7:19,1/24/2021 18:30,1/25/2021 1:49,
Sleep-ternet,0:40,1/24/2021 17:49,1/24/2021 18:30,
Internet,0:29,1/24/2021 17:20,1/24/2021 17:49,
Linda,2:32,1/24/2021 14:47,1/24/2021 17:20,
"""Reading""",0:07,1/24/2021 14:40,1/24/2021 14:47,
Internet,0:20,1/24/2021 14:20,1/24/2021 14:40,
Friends,1:19,1/24/2021 13:00,1/24/2021 14:20,
Work,0:39,1/24/2021 12:20,1/24/2021 13:00,
Internet,0:12,1/24/2021 12:08,1/24/2021 12:20,
"""Reading""",0:16,1/24/2021 11:51,1/24/2021 12:08,
Sleep-ternet,0:34,1/24/2021 11:16,1/24/2021 11:51,
Internet,0:46,1/24/2021 10:30,1/24/2021 11:16,
Eat,0:51,1/24/2021 9:38,1/24/2021 10:30,
Internet,0:18,1/24/2021 9:20,1/24/2021 9:38,
Sleep-ternet,0:50,1/24/2021 8:30,1/24/2021 9:20,
"""Reading""",0:18,1/24/2021 8:12,1/24/2021 8:30,
Internet,1:03,1/24/2021 7:08,1/24/2021 8:12,
Sport,0:38,1/24/2021 6:30,1/24/2021 7:08,
Transport,0:20,1/24/2021 6:10,1/24/2021 6:30,
Internet,0:49,1/24/2021 5:20,1/24/2021 6:10,
Sleep-ternet,1:40,1/24/2021 3:40,1/24/2021 5:20,
Housework,0:05,1/24/2021 3:34,1/24/2021 3:40,
Admin,0:15,1/24/2021 3:19,1/24/2021 3:34,
Eat,0:14,1/24/2021 3:04,1/24/2021 3:19,
Housework,0:02,1/24/2021 3:02,1/24/2021 3:04,
Sleep-ternet,0:59,1/24/2021 2:02,1/24/2021 3:02,
Sleep,6:07,1/23/2021 19:55,1/24/2021 2:02,
Sleep-ternet,0:58,1/23/2021 18:56,1/23/2021 19:55,
Work,1:37,1/23/2021 17:19,1/23/2021 18:56,
Internet,1:19,1/23/2021 16:00,1/23/2021 17:19,
Gaming,1:30,1/23/2021 14:30,1/23/2021 16:00,
"""Reading""",0:20,1/23/2021 14:09,1/23/2021 14:30,
Gaming,3:07,1/23/2021 11:01,1/23/2021 14:09,
"""Reading""",0:11,1/23/2021 10:50,1/23/2021 11:01,
Gaming,0:50,1/23/2021 10:00,1/23/2021 10:50,
Eat,0:30,1/23/2021 9:29,1/23/2021 10:00,
Shop,0:19,1/23/2021 9:10,1/23/2021 9:29,
Sport,0:21,1/23/2021 8:48,1/23/2021 9:10,
Getting Ready,0:18,1/23/2021 8:30,1/23/2021 8:48,
Internet,0:46,1/23/2021 7:44,1/23/2021 8:30,
Gaming,2:57,1/23/2021 4:46,1/23/2021 7:44,
"""Reading""",0:52,1/23/2021 3:54,1/23/2021 4:46,
Sleep-ternet,0:15,1/23/2021 3:39,1/23/2021 3:54,
Sleep,8:05,1/22/2021 19:34,1/23/2021 3:39,
Sleep-ternet,0:51,1/22/2021 18:42,1/22/2021 19:34,
Internet,0:32,1/22/2021 18:10,1/22/2021 18:42,
Sleep-ternet,0:25,1/22/2021 17:44,1/22/2021 18:10,
Reading,0:09,1/22/2021 17:35,1/22/2021 17:44,
Sleep-ternet,0:20,1/22/2021 17:15,1/22/2021 17:35,
Getting Ready,0:15,1/22/2021 17:00,1/22/2021 17:15,
"""Reading""",0:19,1/22/2021 16:40,1/22/2021 17:00,
Gaming,3:20,1/22/2021 13:19,1/22/2021 16:40,
Eat,0:00,1/22/2021 13:19,1/22/2021 13:19,
Shop,0:00,1/22/2021 13:19,1/22/2021 13:19,
Transport,0:00,1/22/2021 13:19,1/22/2021 13:19,
Getting Ready,2:05,1/22/2021 11:14,1/22/2021 13:19,
Meeting,1:14,1/22/2021 10:00,1/22/2021 11:14,
Sleep-ternet,0:06,1/22/2021 9:53,1/22/2021 10:00,
Work,0:33,1/22/2021 9:20,1/22/2021 9:53,
Internet,1:00,1/22/2021 8:19,1/22/2021 9:20,
Meeting,2:19,1/22/2021 6:00,1/22/2021 8:19,
Eat,0:15,1/22/2021 5:44,1/22/2021 6:00,
Gaming,0:44,1/22/2021 5:00,1/22/2021 5:44,
Sleep-ternet,1:00,1/22/2021 4:00,1/22/2021 5:00,
Sleep,2:45,1/22/2021 1:15,1/22/2021 4:00,
"""Reading""",0:22,1/22/2021 0:52,1/22/2021 1:15,
Sleep-ternet,0:03,1/22/2021 0:49,1/22/2021 0:52,
Work,3:48,1/21/2021 21:00,1/22/2021 0:49,
Internet,0:37,1/21/2021 20:22,1/21/2021 21:00,
Gaming,4:17,1/21/2021 16:05,1/21/2021 20:22,
Linda,1:31,1/21/2021 14:34,1/21/2021 16:05,
"""Reading""",0:10,1/21/2021 14:23,1/21/2021 14:34,
Linda,1:39,1/21/2021 12:44,1/21/2021 14:23,
Eat,1:04,1/21/2021 11:40,1/21/2021 12:44,
Gaming,3:39,1/21/2021 8:00,1/21/2021 11:40,
Internet,1:21,1/21/2021 6:39,1/21/2021 8:00,
Gaming,0:27,1/21/2021 6:11,1/21/2021 6:39,
Makin'/Fixin',1:50,1/21/2021 4:21,1/21/2021 6:11,
Eat,0:13,1/21/2021 4:07,1/21/2021 4:21,
Shop,0:00,1/21/2021 4:07,1/21/2021 4:07,
Transport,1:09,1/21/2021 2:57,1/21/2021 4:07,
Eat,0:23,1/21/2021 2:33,1/21/2021 2:57,
Transport,0:03,1/21/2021 2:30,1/21/2021 2:33,
Sleep-ternet,1:01,1/21/2021 1:28,1/21/2021 2:30,
Sleep,6:06,1/20/2021 19:22,1/21/2021 1:28,
Sleep-ternet,0:40,1/20/2021 18:42,1/20/2021 19:22,
Gaming,1:07,1/20/2021 17:34,1/20/2021 18:42,
"""Reading""",0:30,1/20/2021 17:04,1/20/2021 17:34,
Gaming,1:13,1/20/2021 15:50,1/20/2021 17:04,
Internet,1:06,1/20/2021 14:44,1/20/2021 15:50,
Transport,0:00,1/20/2021 14:06,1/20/2021 14:06,
Housework,0:43,1/20/2021 14:00,1/20/2021 14:44,
Internet,0:07,1/20/2021 13:52,1/20/2021 14:00,
Internet,0:00,1/20/2021 13:52,1/20/2021 13:52,
Gaming,1:00,1/20/2021 12:52,1/20/2021 13:52,
Internet,2:07,1/20/2021 10:45,1/20/2021 12:52,
"""Reading""",0:18,1/20/2021 10:26,1/20/2021 10:45,
Internet,1:45,1/20/2021 8:41,1/20/2021 10:26,
Gaming,0:18,1/20/2021 8:23,1/20/2021 8:41,
Linda,0:23,1/20/2021 8:00,1/20/2021 8:23,
Shop,0:28,1/20/2021 7:31,1/20/2021 8:00,
Transport,0:15,1/20/2021 7:16,1/20/2021 7:31,
Getting Ready,1:02,1/20/2021 6:13,1/20/2021 7:16,
Sleep-ternet,1:50,1/20/2021 4:22,1/20/2021 6:13,
Gaming,1:37,1/20/2021 2:45,1/20/2021 4:22,
Sleep-ternet,1:43,1/20/2021 1:02,1/20/2021 2:45,
Sleep,7:40,1/19/2021 17:21,1/20/2021 1:02,
Sleep-ternet,0:56,1/19/2021 16:25,1/19/2021 17:21,
"""Reading""",0:14,1/19/2021 16:11,1/19/2021 16:25,
Linda,4:59,1/19/2021 11:11,1/19/2021 16:11,
Eat,0:52,1/19/2021 10:18,1/19/2021 11:11,
Internet,0:00,1/19/2021 10:18,1/19/2021 10:18,
Internet,1:26,1/19/2021 8:51,1/19/2021 10:18,
Linda,0:13,1/19/2021 8:38,1/19/2021 8:51,
Getting Ready,0:29,1/19/2021 8:08,1/19/2021 8:38,
Internet,0:23,1/19/2021 7:45,1/19/2021 8:08,
Sport,0:45,1/19/2021 7:00,1/19/2021 7:45,
Sleep-ternet,1:37,1/19/2021 5:22,1/19/2021 7:00,
Gaming,0:27,1/19/2021 4:55,1/19/2021 5:22,
Eat,0:15,1/19/2021 4:40,1/19/2021 4:55,
Sleep-ternet,0:53,1/19/2021 3:46,1/19/2021 4:40,
Sleep,0:00,1/19/2021 3:46,1/19/2021 3:46,
Sleep-ternet,2:19,1/19/2021 1:26,1/19/2021 3:46,
Sleep,0:00,1/19/2021 1:26,1/19/2021 1:26,
Sleep-ternet,4:27,1/18/2021 20:59,1/19/2021 1:26,
Thesis,0:32,1/18/2021 20:27,1/18/2021 20:59,
Gaming,0:37,1/18/2021 19:50,1/18/2021 20:27,
Thesis,0:40,1/18/2021 19:09,1/18/2021 19:50,
Gaming,1:32,1/18/2021 17:37,1/18/2021 19:09,
"""Reading""",0:31,1/18/2021 16:34,1/18/2021 17:06,
Thesis,0:03,1/18/2021 16:31,1/18/2021 16:34,
Linda,0:24,1/18/2021 16:06,1/18/2021 16:31,
Thesis,0:12,1/18/2021 15:54,1/18/2021 16:06,
Gaming,0:33,1/18/2021 15:21,1/18/2021 15:54,
Internet,0:09,1/18/2021 15:11,1/18/2021 15:21,
Gaming,0:10,1/18/2021 15:01,1/18/2021 15:11,
Thesis,1:25,1/18/2021 13:36,1/18/2021 15:01,
Meeting,1:00,1/18/2021 12:36,1/18/2021 13:36,
Thesis,3:36,1/18/2021 9:00,1/18/2021 12:36,
Internet,1:38,1/18/2021 7:21,1/18/2021 9:00,
Sleep-ternet,0:21,1/18/2021 7:00,1/18/2021 7:21,
Gaming,0:25,1/18/2021 6:35,1/18/2021 7:00,
Shop,0:31,1/18/2021 6:03,1/18/2021 6:35,
Transport,0:23,1/18/2021 5:39,1/18/2021 6:03,
Housework,0:08,1/18/2021 5:31,1/18/2021 5:39,
Sleep-ternet,2:04,1/18/2021 4:55,1/18/2021 7:00,
Internet,1:10,1/18/2021 3:45,1/18/2021 4:55,
Sleep,1:37,1/18/2021 2:07,1/18/2021 3:45,
Sleep-ternet,2:39,1/17/2021 23:27,1/18/2021 2:07,
Sleep,7:27,1/17/2021 16:00,1/17/2021 23:27,
Linda,4:00,1/17/2021 12:00,1/17/2021 16:00,
"""Reading""",0:26,1/17/2021 11:33,1/17/2021 12:00,
Eat,6:31,1/17/2021 5:01,1/17/2021 11:33,
Housework,0:17,1/17/2021 4:43,1/17/2021 5:01,
Getting Ready,0:22,1/17/2021 4:21,1/17/2021 4:43,
Transport,0:21,1/17/2021 3:59,1/17/2021 4:21,
Transport,0:00,1/17/2021 3:59,1/17/2021 3:59,
Sleep,6:27,1/16/2021 18:32,1/17/2021 1:00,
Friends,11:21,1/16/2021 7:10,1/16/2021 18:32,
Transport,1:47,1/16/2021 5:22,1/16/2021 7:10,
Sleep-ternet,1:37,1/16/2021 3:44,1/16/2021 5:22,
Linda,1:14,1/16/2021 2:30,1/16/2021 3:44,
Eat,0:20,1/16/2021 2:10,1/16/2021 2:30,
Internet,1:10,1/16/2021 1:00,1/16/2021 2:10,
Sleep-ternet,0:00,1/15/2021 18:32,1/15/2021 18:32,
Sleep,31:35:00,1/15/2021 18:00,1/17/2021 1:35,
"""Reading""",0:56,1/15/2021 17:03,1/15/2021 18:00,
Gaming,11:18,1/15/2021 5:45,1/15/2021 17:03,
Eat,1:15,1/15/2021 4:30,1/15/2021 5:45,
Sleep-ternet,0:30,1/15/2021 4:00,1/15/2021 4:30,
Nap,2:32,1/15/2021 1:28,1/15/2021 4:00,
Gaming,0:58,1/15/2021 0:29,1/15/2021 1:28,
Sleep-ternet,1:15,1/14/2021 23:14,1/15/2021 0:29,
Sleep-ternet,0:10,1/14/2021 23:04,1/14/2021 23:14,
Sleep,4:34,1/14/2021 18:30,1/14/2021 23:04,
Sleep-ternet,1:20,1/14/2021 17:09,1/14/2021 18:30,
Linda,2:45,1/14/2021 14:24,1/14/2021 17:09,
"""Reading""",0:23,1/14/2021 14:00,1/14/2021 14:24,
Gaming,2:00,1/14/2021 12:00,1/14/2021 14:00,
Shop,0:10,1/14/2021 11:50,1/14/2021 12:00,
Transport,0:15,1/14/2021 11:35,1/14/2021 11:50,
"""Reading""",0:13,1/14/2021 11:21,1/14/2021 11:35,
Linda,0:21,1/14/2021 11:00,1/14/2021 11:21,
Gaming,1:14,1/14/2021 9:45,1/14/2021 11:00,
Meeting,1:15,1/14/2021 8:30,1/14/2021 9:45,
Internet,3:14,1/14/2021 5:15,1/14/2021 8:30,
